TN Title,studio,genres,TN Worlwide Gross,TN Domestic Gross,Computed Foreign Gross,TN Budget / Cost,Computed_Profit_Loss,year,release_date
Snowden,ORF,"Biography,Drama,Thriller",35380918,21587519,13793399,50000000,-14619082,2016,16-Sep-16
The Reluctant Fundamentalist,IFC,"Drama,Thriller",528731,528731,0,15000000,-14471269,2013,26-Apr-13
Robin Hood,Uni.,,84747441,30824628,53922813,99000000,-14252559,2010,21-Nov-18
Robin Hood,Uni.,"Action,Adventure,Drama",84747441,30824628,53922813,99000000,-14252559,2010,21-Nov-18
Robin Hood,Uni.,"Action,Adventure,History",84747441,30824628,53922813,99000000,-14252559,2010,21-Nov-18
Robin Hood,Uni.,"Action,Adventure,Thriller",84747441,30824628,53922813,99000000,-14252559,2010,21-Nov-18
Robin Hood,Uni.,"Action,Drama",84747441,30824628,53922813,99000000,-14252559,2010,21-Nov-18
Dylan Dog: Dead of Night,OMNI/FSR,"Action,Comedy,Crime",6093725,1186538,4907187,20000000,-13906275,2011,29-Apr-11
The Son of No One,Anch.,"Action,Crime,Drama",1148578,30680,1117898,15000000,-13851422,2011,4-Nov-11
Repo Men,Uni.,"Action,Crime,Sci-Fi",18195238,13942007,4253231,32000000,-13804762,2010,19-Mar-10
Downsizing,Par.,"Drama,Sci-Fi",54462971,24449754,30013217,68000000,-13537029,2017,22-Dec-17
The Space Between Us,STX,"Adventure,Drama,Romance",16481405,7885294,8596111,30000000,-13518595,2017,3-Feb-17
Margaret,FoxS,Drama,623292,47185,576107,14000000,-13376708,2011,30-Sep-11
Baahubali: The Beginning,BSC,"Action,Drama",26736665,6738000,19998665,40000000,-13263335,2015,10-Jul-15
Won't Back Down,Fox,Drama,5745503,5310554,434949,19000000,-13254497,2012,28-Sep-12
Won't Back Down,Fox,Sport,5745503,5310554,434949,19000000,-13254497,2012,28-Sep-12
The Last Godfather,RAtt.,"Comedy,Crime,Romance",164247,164247,0,13400000,-13235753,2011,1-Apr-11
The Devil's Double,LGF,"Biography,Drama,Thriller",5965646,1361512,4604134,19100000,-13134354,2011,29-Jul-11
Escobar: Paradise Lost,RTWC,"Crime,Drama,History",3917679,195792,3721887,17000000,-13082321,2015,26-Jun-15
Suspiria,Amazon,"Fantasy,Horror,Mystery",7034615,2483472,4551143,20000000,-12965385,2018,26-Oct-18
The Lost City of Z,BST,"Adventure,Biography,Drama",17121823,8574339,8547484,30000000,-12878177,2017,14-Apr-17
Dhoom 3,Yash,"Action,Thriller",11723620,8031955,3691665,24000000,-12276380,2013,20-Dec-13
Trouble with the Curve,WB,"Drama,Sport",47818913,35763137,12055776,60000000,-12181087,2012,21-Sep-12
Beautiful Boy,Anch.,"Biography,Drama",13031424,7634767,5396657,25000000,-11968576,2011,12-Oct-18
Beautiful Boy,Anch.,Drama,13031424,7634767,5396657,25000000,-11968576,2011,12-Oct-18
5 Days of War,Anch.,"Action,Drama,War",87793,17479,70314,12000000,-11912207,2011,19-Aug-11
Chasing Mavericks,Fox,"Biography,Drama,Sport",8300821,6002756,2298065,20000000,-11699179,2012,26-Oct-12
Anonymous,Sony,,15815509,4463292,11352217,27500000,-11684491,2011,28-Oct-11
Anonymous,Sony,"Action,Comedy,Mystery",15815509,4463292,11352217,27500000,-11684491,2011,28-Oct-11
Anonymous,Sony,"Drama,Thriller",15815509,4463292,11352217,27500000,-11684491,2011,28-Oct-11
Aloha,Sony,"Comedy,Drama,Romance",25387091,21052030,4335061,37000000,-11612909,2015,29-May-15
The Disappointments Room,Rela.,"Drama,Horror,Thriller",3503761,2423467,1080294,15000000,-11496239,2016,9-Sep-16
Take Me Home Tonight,Rela.,"Comedy,Drama,Romance",7576604,6928068,648536,19000000,-11423396,2011,4-Mar-11
A Little Bit of Heaven,MNE,"Comedy,Drama,Fantasy",1100287,10011,1090276,12500000,-11399713,2012,4-May-12
Pride and Prejudice and Zombies,SGem,"Action,Comedy,Horror",16638300,10907291,5731009,28000000,-11361700,2016,5-Feb-16
A Most Violent Year,A24,"Crime,Drama,Thriller",8846875,5749134,3097741,20000000,-11153125,2014,31-Dec-14
The Legend of Hercules,LG/S,"Action,Adventure,Fantasy",58953319,18848538,40104781,70000000,-11046681,2014,10-Jan-14
Darling Companion,SPC,"Comedy,Drama,Romance",1200346,793352,406994,12000000,-10799654,2012,20-Apr-12
Brighton Rock,IFC,"Crime,Drama,Thriller",229653,229653,0,11000000,-10770347,2011,26-Aug-11
Dead Man Down,FD,"Action,Crime,Drama",19599974,10895295,8704679,30000000,-10400026,2013,8-Mar-13
Midnight Special,WB,"Action,Drama,Mystery",7680250,3712282,3967968,18000000,-10319750,2016,18-Mar-16
Biutiful,RAtt.,"Drama,Romance",24687524,5101237,19586287,35000000,-10312476,2011,28-Jan-11
In the Heart of the Sea,WB,"Action,Adventure,Biography",89693309,25020758,64672551,100000000,-10306691,2015,11-Dec-15
Miss Sloane,EC,"Drama,Thriller",7719630,3500605,4219025,18000000,-10280370,2016,25-Nov-16
Casino Jack,ATO,"Biography,Comedy,Crime",2272186,2039869,232317,12500000,-10227814,2010,17-Dec-10
Black Nativity,FoxS,"Drama,Family,Music",7285135,7018188,266947,17500000,-10214865,2013,27-Nov-13
Strangerland,Alc,"Drama,Mystery,Thriller",161097,17472,143625,10000000,-9838903,2015,10-Jul-15
High School,Anch.,Comedy,248133,139034,109099,10000000,-9751867,2012,1-Jun-12
Genius,RAtt.,"Action,Thriller",7265283,1361045,5904238,17000000,-9734717,2016,10-Jun-16
Genius,RAtt.,"Biography,Drama",7265283,1361045,5904238,17000000,-9734717,2016,10-Jun-16
Genius,RAtt.,Drama,7265283,1361045,5904238,17000000,-9734717,2016,10-Jun-16
Flipped,WB,"Comedy,Drama,Romance",4289993,1755212,2534781,14000000,-9710007,2010,6-Aug-10
Flipped,WB,"Drama,Thriller",4289993,1755212,2534781,14000000,-9710007,2010,6-Aug-10
Whiskey Tango Foxtrot,Par.,"Biography,Comedy,Drama",25350747,23083334,2267413,35000000,-9649253,2016,4-Mar-16
Welcome to the Rileys,Gold.,Drama,355919,152857,203062,10000000,-9644081,2010,29-Oct-10
The Young Messiah,Focus,"Drama,Fantasy",7313697,6469813,843884,16800000,-9486303,2016,11-Mar-16
Bleed for This,ORF,"Biography,Drama,Sport",6603926,5083906,1520020,16000000,-9396074,2016,18-Nov-16
The Killer Inside Me,IFC,"Crime,Drama,Horror",3617277,217277,3400000,13000000,-9382723,2010,18-Jun-10
The Conspirator,RAtt.,Comedy,15907411,11538204,4369207,25000000,-9092589,2011,15-Apr-11
The Conspirator,RAtt.,"Crime,Drama,History",15907411,11538204,4369207,25000000,-9092589,2011,15-Apr-11
The Hurricane Heist,ENTMP,"Action,Adventure,Crime",30963684,6115824,24847860,40000000,-9036316,2018,9-Mar-18
"Roman J. Israel, Esq.",Sony,"Crime,Drama,Thriller",12967012,11962712,1004300,22000000,-9032988,2017,17-Nov-17
Skin Trade,Magn.,"Action,Crime,Thriller",1242,1242,0,9000000,-8998758,2015,8-May-15
Skin Trade,Magn.,Documentary,1242,1242,0,9000000,-8998758,2015,8-May-15
Rock of Ages,WB (NL),"Comedy,Drama,Musical",61031932,38518613,22513319,70000000,-8968068,2012,15-Jun-12
Drive Angry,Sum.,"Action,Fantasy,Thriller",41042583,10721033,30321550,50000000,-8957417,2011,25-Feb-11
Metallica Through the Never,PH,Music,9082906,3419967,5662939,18000000,-8917094,2013,27-Sep-13
Victor Frankenstein,Fox,"Drama,Horror,Sci-Fi",31124367,5775076,25349291,40000000,-8875633,2015,25-Nov-15
The House,WB (NL),Animation,31192425,25584504,5607921,40000000,-8807575,2017,30-Jun-17
The House,WB (NL),"Comedy,Crime",31192425,25584504,5607921,40000000,-8807575,2017,30-Jun-17
The House,WB (NL),Drama,31192425,25584504,5607921,40000000,-8807575,2017,30-Jun-17
The House,WB (NL),"Drama,Mystery,Thriller",31192425,25584504,5607921,40000000,-8807575,2017,30-Jun-17
The House,WB (NL),Thriller,31192425,25584504,5607921,40000000,-8807575,2017,30-Jun-17
The Paperboy,MNE,"Crime,Drama,Mystery",4027663,677200,3350463,12500000,-8472337,2012,5-Oct-12
The Immigrant,Wein.,Documentary,7585011,2013456,5571555,16000000,-8414989,2014,16-May-14
The Immigrant,Wein.,Drama,7585011,2013456,5571555,16000000,-8414989,2014,16-May-14
The Immigrant,Wein.,"Drama,Romance",7585011,2013456,5571555,16000000,-8414989,2014,16-May-14
Dream House,Uni.,"Comedy,Drama,Romance",41642166,21302340,20339826,50000000,-8357834,2011,30-Sep-11
Dream House,Uni.,"Drama,Mystery,Thriller",41642166,21302340,20339826,50000000,-8357834,2011,30-Sep-11
It's a Wonderful Afterlife,UTV,"Comedy,Drama,Fantasy",1642939,0,1642939,10000000,-8357061,2010,8-Oct-10
Wanderlust,Uni.,"Adventure,Documentary",24159934,17288155,6871779,32500000,-8340066,2012,24-Feb-12
Wanderlust,Uni.,"Comedy,Romance",24159934,17288155,6871779,32500000,-8340066,2012,24-Feb-12
Wanderlust,Uni.,Documentary,24159934,17288155,6871779,32500000,-8340066,2012,24-Feb-12
Wanderlust,Uni.,Drama,24159934,17288155,6871779,32500000,-8340066,2012,24-Feb-12
Wanderlust,Uni.,Fantasy,24159934,17288155,6871779,32500000,-8340066,2012,24-Feb-12
Proud Mary,SGem,"Action,Crime,Drama",21709539,20868638,840901,30000000,-8290461,2018,12-Jan-18
My Soul to Take,Uni.,"Horror,Mystery,Thriller",16727470,14744435,1983035,25000000,-8272530,2010,8-Oct-10
A Better Life,Sum.,Drama,1884251,1759252,124999,10000000,-8115749,2011,24-Jun-11
A Better Life,Sum.,"Drama,Romance",1884251,1759252,124999,10000000,-8115749,2011,24-Jun-11
Coriolanus,Wein.,,2179623,749641,1429982,10000000,-7820377,2012,20-Jan-12
Coriolanus,Wein.,Drama,2179623,749641,1429982,10000000,-7820377,2012,20-Jan-12
Coriolanus,Wein.,"Drama,History,War",2179623,749641,1429982,10000000,-7820377,2012,20-Jan-12
Coriolanus,Wein.,"Drama,Thriller,War",2179623,749641,1429982,10000000,-7820377,2012,20-Jan-12
The Homesman,Saban,"Drama,Western",8217571,2429989,5787582,16000000,-7782429,2014,14-Nov-14
Red Tails,Fox,"Action,Adventure,Drama",50365498,49876377,489121,58000000,-7634502,2012,20-Jan-12
The Wolfman,Uni.,"Drama,Fantasy,Horror",142634358,62189884,80444474,150000000,-7365642,2010,12-Feb-10
Centurion,Magn.,"Action,Adventure,Drama",7885048,123570,7761478,15000000,-7114952,2010,27-Aug-10
Rosewater,ORF,"Biography,Drama",3185717,3128941,56776,10000000,-6814283,2014,14-Nov-14
Hesher,WHE,"Comedy,Crime,Drama",382946,382946,0,7000000,-6617054,2011,13-May-11
Out of the Furnace,Rela.,"Crime,Drama,Thriller",15434375,11330849,4103526,22000000,-6565625,2013,4-Dec-13
Battle of the Sexes,FoxS,"Biography,Comedy,Drama",18445379,12638526,5806853,25000000,-6554621,2017,22-Sep-17
Attack the Block,SGem,"Action,Comedy,Sci-Fi",6459183,1024175,5435008,13000000,-6540817,2011,29-Jul-11
The Extra Man,Magn.,Comedy,492108,453377,38731,7000000,-6507892,2010,30-Jul-10
The Joneses,RAtt.,"Biography,Documentary",3541565,1475746,2065819,10000000,-6458435,2010,16-Apr-10
The Joneses,RAtt.,"Comedy,Drama",3541565,1475746,2065819,10000000,-6458435,2010,16-Apr-10
The Apparition,WB,Drama,10637281,4936819,5700462,17000000,-6362719,2012,24-Aug-12
The Apparition,WB,"Horror,Thriller",10637281,4936819,5700462,17000000,-6362719,2012,24-Aug-12
The Brothers Grimsby,Sony,"Action,Adventure,Comedy",28720470,6864016,21856454,35000000,-6279530,2016,11-Mar-16
Free Fire,A24,"Action,Comedy,Crime",3793739,1799322,1994417,10000000,-6206261,2017,21-Apr-17
Shark Night 3D,Rela.,"Horror,Thriller",18877153,18877153,0,25000000,-6122847,2011,2-Sep-11
Song One,TFA,"Drama,Music",437089,32251,404838,6000000,-5562911,2015,23-Jan-15
Lean on Pete,A24,"Adventure,Drama",2455027,1163056,1291971,8000000,-5544973,2018,6-Apr-18
Trash,FCW,Action,6553186,17484,6535702,12000000,-5446814,2015,9-Oct-15
Trash,FCW,"Adventure,Crime,Drama",6553186,17484,6535702,12000000,-5446814,2015,9-Oct-15
Trash,FCW,Comedy,6553186,17484,6535702,12000000,-5446814,2015,9-Oct-15
Trash,FCW,Drama,6553186,17484,6535702,12000000,-5446814,2015,9-Oct-15
Trash,FCW,Thriller,6553186,17484,6535702,12000000,-5446814,2015,9-Oct-15
Max Steel,ORF,"Action,Adventure,Family",4563080,3818664,744416,10000000,-5436920,2016,14-Oct-16
