TN Title,studio,genres,TN Worlwide Gross,TN Domestic Gross,Computed Foreign Gross,TN Budget / Cost,Computed_Profit_Loss,year,release_date
All Eyez on Me,LG/S,"Biography,Drama,Music",54876855,44922302,9954553,45000000,9876855,2017,16-Jun-17
Nocturnal Animals,Focus,"Drama,Thriller",32398681,10663357,21735324,22500000,9898681,2016,18-Nov-16
The Campaign,WB,Comedy,104907746,86907746,18000000,95000000,9907746,2012,10-Aug-12
The Campaign,WB,Documentary,104907746,86907746,18000000,95000000,9907746,2012,10-Aug-12
Somewhere,Focus,"Comedy,Drama",17023121,1785645,15237476,7000000,10023121,2010,22-Dec-10
The Edge of Seventeen,STX,"Comedy,Drama",19096003,14431633,4664370,9000000,10096003,2016,18-Nov-16
What's Your Number?,Fox,"Comedy,Romance",30163785,14011084,16152701,20000000,10163785,2011,30-Sep-11
The Words,CBS,"Drama,Mystery,Romance",16369708,11494838,4874870,6000000,10369708,2012,7-Sep-12
The Sessions,FoxS,"Biography,Comedy,Drama",11495204,6002451,5492753,1000000,10495204,2012,19-Oct-12
The Lunchbox,SPC,"Drama,Romance",12231500,4231500,8000000,1700000,10531500,2014,28-Feb-14
Hot Pursuit,WB (NL),"Action,Comedy,Crime",45671512,34580201,11091311,35000000,10671512,2015,8-May-15
Young Adult,Par.,"Comedy,Drama",22750356,16311571,6438785,12000000,10750356,2011,9-Dec-11
Vice,Annapurna,"Action,Adventure,Sci-Fi",70883171,47836282,23046889,60000000,10883171,2018,25-Dec-18
Vice,Annapurna,"Biography,Comedy,Drama",70883171,47836282,23046889,60000000,10883171,2018,25-Dec-18
3 Days to Kill,Rela.,"Action,Drama,Thriller",38959900,30697999,8261901,28000000,10959900,2014,21-Feb-14
Youth,FoxS,"Comedy,Drama,Music",24001573,2703296,21298277,13000000,11001573,2015,4-Dec-15
Youth,FoxS,Drama,24001573,2703296,21298277,13000000,11001573,2015,4-Dec-15
Youth,FoxS,"Drama,Family",24001573,2703296,21298277,13000000,11001573,2015,4-Dec-15
Youth,FoxS,"Drama,Romance,War",24001573,2703296,21298277,13000000,11001573,2015,4-Dec-15
Beginners,Focus,"Comedy,Drama,Romance",14314407,5790894,8523513,3200000,11114407,2011,3-Jun-11
Mr. Turner,SPC,"Biography,Drama,History",25187026,3958546,21228480,14000000,11187026,2014,19-Dec-14
Dope,ORF,"Comedy,Crime,Drama",18190831,17506470,684361,7000000,11190831,2015,19-Jun-15
The Sapphires,Wein.,"Biography,Comedy,Drama",20395040,2450867,17944173,9000000,11395040,2013,22-Mar-13
Wish Upon,BG,"Drama,Fantasy,Horror",23477345,14301505,9175840,12000000,11477345,2017,14-Jul-17
Sea Rex 3D: Journey to a Prehistoric World,3D,Documentary,16515203,6096582,10418621,5000000,11515203,2010,28-May-10
Going the Distance,WB (NL),,43603990,17804299,25799691,32000000,11603990,2010,3-Sep-10
Going the Distance,WB (NL),Comedy,43603990,17804299,25799691,32000000,11603990,2010,3-Sep-10
Going the Distance,WB (NL),"Comedy,Romance",43603990,17804299,25799691,32000000,11603990,2010,3-Sep-10
Faster,CBS,"Action,Crime,Drama",35792945,23240020,12552925,24000000,11792945,2010,24-Nov-10
The Green Inferno,BH Tilt,"Adventure,Horror",12931420,7192291,5739129,1000000,11931420,2015,25-Sep-15
Do You Believe?,PFR,Drama,14304931,12985600,1319331,2300000,12004931,2015,20-Mar-15
Do You Believe?,PFR,"Fantasy,Horror",14304931,12985600,1319331,2300000,12004931,2015,20-Mar-15
Another Year,SPC,"Comedy,Drama",20005613,3205706,16799907,8000000,12005613,2010,29-Dec-10
Another Year,SPC,Documentary,20005613,3205706,16799907,8000000,12005613,2010,29-Dec-10
Another Year,SPC,"Drama,Romance",20005613,3205706,16799907,8000000,12005613,2010,29-Dec-10
The Hate U Give,Fox,"Crime,Drama",35067665,29719483,5348182,23000000,12067665,2018,5-Oct-18
The Watch,Fox,"Action,Comedy,Horror",67130045,34353000,32777045,55000000,12130045,2012,27-Jul-12
The Dressmaker,BG,"Comedy,Drama",24041617,2022115,22019502,11900000,12141617,2016,23-Sep-16
Melancholia,Magn.,Documentary,21817298,3030848,18786450,9400000,12417298,2011,11-Nov-11
Melancholia,Magn.,"Drama,Mystery,Romance",21817298,3030848,18786450,9400000,12417298,2011,11-Nov-11
Melancholia,Magn.,"Drama,Sci-Fi",21817298,3030848,18786450,9400000,12417298,2011,11-Nov-11
Ramona and Beezus,Fox,"Adventure,Comedy,Family",27469621,26167002,1302619,15000000,12469621,2010,23-Jul-10
Addicted,LGF,Comedy,17499242,17390770,108472,5000000,12499242,2014,10-Oct-14
Addicted,LGF,"Documentary,Music",17499242,17390770,108472,5000000,12499242,2014,10-Oct-14
Addicted,LGF,Drama,17499242,17390770,108472,5000000,12499242,2014,10-Oct-14
Addicted,LGF,"Drama,Thriller",17499242,17390770,108472,5000000,12499242,2014,10-Oct-14
Norm of the North,LGF,"Adventure,Animation,Comedy",30535660,17062499,13473161,18000000,12535660,2016,15-Jan-16
Hell Fest,LGF,Horror,18119231,11107431,7011800,5500000,12619231,2018,28-Sep-18
Mommy,RAtt.,Drama,17536004,3498695,14037309,4900000,12636004,2014,23-Jan-15
Ida,MBox,Drama,15298355,3827060,11471295,2600000,12698355,2014,2-May-14
Unsane,BST,"Drama,Horror,Mystery",14244931,7690044,6554887,1500000,12744931,2018,23-Mar-18
Nebraska,Par.,"Adventure,Comedy,Drama",24761360,17654912,7106448,12000000,12761360,2013,15-Nov-13
Patriots Day,LGF,"Action,Crime,Drama",52837989,31886361,20951628,40000000,12837989,2016,21-Dec-16
You Again,BV,"Comedy,Family,Romance",32838945,25702053,7136892,20000000,12838945,2010,24-Sep-10
30 Minutes or Less,Sony,"Action,Comedy,Crime",40966716,37053924,3912792,28000000,12966716,2011,12-Aug-11
Black or White,Rela.,"Action,Drama,Thriller",21971021,21571189,399832,9000000,12971021,2015,30-Jan-15
Black or White,Rela.,Drama,21971021,21571189,399832,9000000,12971021,2015,30-Jan-15
The Master,Wein.,"Action,History",50647416,16247159,34400257,37500000,13147416,2012,14-Sep-12
The Master,Wein.,Documentary,50647416,16247159,34400257,37500000,13147416,2012,14-Sep-12
The Master,Wein.,Drama,50647416,16247159,34400257,37500000,13147416,2012,14-Sep-12
Allied,Par.,"Action,Drama,Romance",119266661,40098064,79168597,106000000,13266661,2016,23-Nov-16
Haywire,Rela.,"Action,Drama,Thriller",36374700,18942396,17432304,23000000,13374700,2012,20-Jan-12
Parker,FD,"Action,Crime,Thriller",48543388,17616641,30926747,35000000,13543388,2013,25-Jan-13
Upgrade,BH Tilt,"Action,Sci-Fi,Thriller",16553285,11977130,4576155,3000000,13553285,2018,1-Jun-18
Upgrade,BH Tilt,Drama,16553285,11977130,4576155,3000000,13553285,2018,1-Jun-18
Diary of a Wimpy Kid: The Long Haul,Fox,"Comedy,Family",35609577,20738724,14870853,22000000,13609577,2017,19-May-17
Leap Year,Uni.,"Comedy,Romance",32618920,25918920,6700000,19000000,13618920,2010,8-Jan-10
Leap Year,Uni.,"Drama,Romance",32618920,25918920,6700000,19000000,13618920,2010,8-Jan-10
The Gambler,Par.,"Action,Sci-Fi,Thriller",38718031,33680992,5037039,25000000,13718031,2014,10-Dec-14
The Gambler,Par.,"Crime,Drama,Thriller",38718031,33680992,5037039,25000000,13718031,2014,10-Dec-14
The Gambler,Par.,Documentary,38718031,33680992,5037039,25000000,13718031,2014,10-Dec-14
The Gambler,Par.,Drama,38718031,33680992,5037039,25000000,13718031,2014,10-Dec-14
The Gambler,Par.,"Drama,Thriller",38718031,33680992,5037039,25000000,13718031,2014,10-Dec-14
The Sitter,Fox,Comedy,38749404,30542576,8206828,25000000,13749404,2011,9-Dec-11
The Sitter,Fox,Horror,38749404,30542576,8206828,25000000,13749404,2011,9-Dec-11
Polisse,IFC,"Crime,Drama",22744132,176988,22567144,8900000,13844132,2012,18-May-12
Seventh Son,Uni.,"Action,Adventure,Fantasy",108874967,17725785,91149182,95000000,13874967,2015,6-Feb-15
Shame,FoxS,Drama,20412841,4002293,16410548,6500000,13912841,2011,2-Dec-11
Lockout,FD,"Action,Sci-Fi,Thriller",33943049,14326865,19616184,20000000,13943049,2012,13-Apr-12
Before I Fall,ORF,"Drama,Fantasy,Mystery",18945682,12241072,6704610,5000000,13945682,2017,3-Mar-17
The Eagle,Focus,"Action,Adventure,Drama",38993548,19490041,19503507,25000000,13993548,2011,11-Feb-11
The Eagle,Focus,Documentary,38993548,19490041,19503507,25000000,13993548,2011,11-Feb-11
Top Five,Par.,"Comedy,Romance",26001741,25317379,684362,12000000,14001741,2014,12-Dec-14
Don't Be Afraid of the Dark,FD,"Fantasy,Horror,Thriller",39126427,24046682,15079745,25000000,14126427,2011,26-Aug-11
Winter's Bone,RAtt.,"Drama,Mystery",16131551,6531503,9600048,2000000,14131551,2010,11-Jun-10
Million Dollar Arm,BV,"Biography,Drama,Sport",39217912,36447959,2769953,25000000,14217912,2014,16-May-14
Baggage Claim,FoxS,Comedy,22885836,21569509,1316327,8500000,14385836,2013,27-Sep-13
Silent House,ORF,"Drama,Horror,Mystery",16610760,12739737,3871023,2000000,14610760,2012,9-Mar-12
Sucker Punch,WB,"Action,Adventure,Fantasy",89758389,36392502,53365887,75000000,14758389,2011,25-Mar-11
Middle School: The Worst Years of My Life,LGF,"Comedy,Family",23311293,20007149,3304144,8500000,14811293,2016,7-Oct-16
The Best of Me,Rela.,"Drama,Romance",41059418,26766213,14293205,26000000,15059418,2014,17-Oct-14
When the Game Stands Tall,TriS,"Drama,Family,Sport",30138912,30127963,10949,15000000,15138912,2014,22-Aug-14
Hardcore Henry,STX,"Action,Adventure,Sci-Fi",17187434,9252038,7935396,2000000,15187434,2016,8-Apr-16
The Guard,SPC,"Comedy,Crime,Thriller",21197454,5359774,15837680,6000000,15197454,2011,29-Jul-11
The Odd Life of Timothy Green,BV,"Comedy,Drama,Family",55249159,51853450,3395709,40000000,15249159,2012,15-Aug-12
Logan Lucky,BST,"Comedy,Crime,Drama",44264271,27778642,16485629,29000000,15264271,2017,18-Aug-17
Fist Fight,WB (NL),Comedy,40286416,32187017,8099399,25000000,15286416,2017,17-Feb-17
Unfriended: Dark Web,BH Tilt,"Crime,Horror,Mystery",16434588,8866745,7567843,1000000,15434588,2018,20-Jul-18
Blue Valentine,Wein.,"Drama,Romance",16566240,9737892,6828348,1000000,15566240,2010,29-Dec-10
Snatched,Fox,"Action,Adventure,Comedy",57852177,45852178,11999999,42000000,15852177,2017,12-May-17
Snatched,Fox,Comedy,57852177,45852178,11999999,42000000,15852177,2017,12-May-17
Snatched,Fox,Drama,57852177,45852178,11999999,42000000,15852177,2017,12-May-17
Snatched,Fox,"Drama,Horror,Mystery",57852177,45852178,11999999,42000000,15852177,2017,12-May-17
The Big Wedding,LGF,"Comedy,Drama,Romance",48425971,21819348,26606623,32500000,15925971,2013,26-Apr-13
The Mortal Instruments: City of Bones,SGem,"Action,Fantasy,Horror",75965567,31165421,44800146,60000000,15965567,2013,21-Aug-13
A Very Harold & Kumar 3D Christmas,WB,"Adventure,Comedy",36265745,35061031,1204714,20000000,16265745,2011,4-Nov-11
Entourage,WB,Comedy,46438538,32363404,14075134,30000000,16438538,2015,3-Jun-15
Fruitvale Station,Wein.,"Biography,Drama,Romance",17549645,16098998,1450647,900000,16649645,2013,12-Jul-13
Burnt,Wein.,"Comedy,Drama",36773510,13651946,23121564,20000000,16773510,2015,30-Oct-15
Run All Night,WB,"Action,Drama,Thriller",66961644,26461644,40500000,50000000,16961644,2015,13-Mar-15
For Colored Girls,LGF,Drama,38017873,37729698,288175,21000000,17017873,2010,5-Nov-10
Margin Call,RAtt.,"Drama,Thriller",20433227,5353586,15079641,3400000,17033227,2011,21-Oct-11
Fifty Shades of Black,ORF,Comedy,22113075,11686940,10426135,5000000,17113075,2016,29-Jan-16
A Haunted House 2,ORF,"Comedy,Fantasy",21206861,17329487,3877374,4000000,17206861,2014,18-Apr-14
Big Eyes,Wein.,"Biography,Crime,Drama",27317872,14482031,12835841,10000000,17317872,2014,25-Dec-14
Big Eyes,Wein.,Documentary,27317872,14482031,12835841,10000000,17317872,2014,25-Dec-14
Legend,Uni.,"Action,Drama",42425450,1872994,40552456,25000000,17425450,2015,20-Nov-15
Legend,Uni.,"Biography,Crime,Drama",42425450,1872994,40552456,25000000,17425450,2015,20-Nov-15
Legend,Uni.,"Biography,Documentary",42425450,1872994,40552456,25000000,17425450,2015,20-Nov-15
Legend,Uni.,Horror,42425450,1872994,40552456,25000000,17425450,2015,20-Nov-15
The Nut Job 2: Nutty by Nature,ORF,"Adventure,Animation,Comedy",57438389,28370522,29067867,40000000,17438389,2017,11-Aug-17
Enough Said,FoxS,"Comedy,Drama,Romance",25621449,17550872,8070577,8000000,17621449,2013,18-Sep-13
Dinner for Schmucks,P/DW,Comedy,86796502,73026337,13770165,69000000,17796502,2010,30-Jul-10
Ender's Game,LG/S,"Action,Adventure,Fantasy",127983283,61737191,66246092,110000000,17983283,2013,1-Nov-13
On the Basis of Sex,Focus,"Biography,Drama",38073377,24622687,13450690,20000000,18073377,2018,25-Dec-18
The Last Stand,LGF,"Action,Thriller",48330757,12050299,36280458,30000000,18330757,2013,18-Jan-13
The Last Stand,LGF,Drama,48330757,12050299,36280458,30000000,18330757,2013,18-Jan-13
Evolution,IFC,"Drama,Mystery,Sci-Fi",98341932,38311134,60030798,80000000,18341932,2016,8-Jun-01
The Disaster Artist,A24,"Biography,Comedy,Drama",28717667,21120616,7597051,10000000,18717667,2017,1-Dec-17
The Spy Next Door,LGF,"Action,Comedy,Family",46752858,24307106,22445752,28000000,18752858,2010,15-Jan-10
Cop Out,WB,"Action,Comedy,Crime",55909910,44875481,11034429,37000000,18909910,2010,26-Feb-10
Hall Pass,WB (NL),"Comedy,Romance",87173475,45060734,42112741,68000000,19173475,2011,25-Feb-11
You Will Meet a Tall Dark Stranger,SPC,"Comedy,Drama,Romance",34247816,3247816,31000000,15000000,19247816,2010,22-Sep-10
Buried,LGF,Documentary,21270290,1044143,20226147,1987650,19282640,2010,24-Sep-10
Buried,LGF,"Drama,Mystery,Thriller",21270290,1044143,20226147,1987650,19282640,2010,24-Sep-10
Buried,LGF,Thriller,21270290,1044143,20226147,1987650,19282640,2010,24-Sep-10
Green Lantern,WB,"Action,Adventure,Sci-Fi",219535492,116601172,102934320,200000000,19535492,2011,17-Jun-11
Seven Psychopaths,CBS,"Comedy,Crime",33035736,15024049,18011687,13500000,19535736,2012,12-Oct-12
Monte Carlo,Fox,"Adventure,Comedy,Family",39686769,23186769,16500000,20000000,19686769,2011,1-Jul-11
Morning Glory,Par.,"Comedy,Drama,Romance",59795070,31011732,28783338,40000000,19795070,2010,10-Nov-10
The November Man,Rela.,"Action,Crime,Thriller",34820335,25018119,9802216,15000000,19820335,2014,27-Aug-14
Crimson Peak,Uni.,"Drama,Fantasy,Horror",74966854,31090320,43876534,55000000,19966854,2015,16-Oct-15
Suffragette,Focus,"Biography,Drama,History",34044909,4702420,29342489,14000000,20044909,2015,23-Oct-15
The Perks of Being a Wallflower,LG/S,Drama,33069303,17742948,15326355,13000000,20069303,2012,21-Sep-12
Winnie the Pooh,BV,"Adventure,Animation,Comedy",50145607,26692846,23452761,30000000,20145607,2011,15-Jul-11
Before Midnight,SPC,"Drama,Romance",23251930,8110621,15141309,3000000,20251930,2013,24-May-13
"Paul, Apostle of Christ",Affirm,"Adventure,Biography,Drama",25529498,17547999,7981499,5000000,20529498,2018,23-Mar-18
The Ghost Writer,Sum.,"Drama,Mystery,Thriller",65532491,15541549,49990942,45000000,20532491,2010,19-Feb-10
Killers,LGF,"Action,Comedy,Romance",95572749,47059963,48512786,75000000,20572749,2010,4-Jun-10
Killers,LGF,"Action,Crime,Drama",95572749,47059963,48512786,75000000,20572749,2010,4-Jun-10
Katy Perry: Part of Me,Par.,"Documentary,Music",32700439,25326071,7374368,12000000,20700439,2012,5-Jul-12
When the Bough Breaks,SGem,,30768449,29747603,1020846,10000000,20768449,2016,9-Sep-16
When the Bough Breaks,SGem,"Crime,Drama,Horror",30768449,29747603,1020846,10000000,20768449,2016,9-Sep-16
Our Idiot Brother,Wein.,"Comedy,Drama",25861249,24814830,1046419,5000000,20861249,2011,26-Aug-11
Project Almanac,Par.,"Drama,Mystery,Sci-Fi",32909437,22348241,10561196,12000000,20909437,2015,30-Jan-15
Beastly,CBS,"Drama,Fantasy,Romance",38028230,27865571,10162659,17000000,21028230,2011,4-Mar-11
A Most Wanted Man,RAtt.,"Crime,Drama,Thriller",36068890,17237855,18831035,15000000,21068890,2014,25-Jul-14
Movie 43,Rela.,Comedy,31164747,8840453,22324294,10000000,21164747,2013,25-Jan-13
It Follows,RTWC,"Horror,Mystery",23250755,14674077,8576678,2000000,21250755,2015,13-Mar-15
Hunt for the Wilderpeople,Orch.,"Adventure,Comedy,Drama",23845533,5205471,18640062,2500000,21345533,2016,24-Jun-16
The Last Exorcism Part II,CBS,"Drama,Horror,Thriller",25448707,15179303,10269404,4000000,21448707,2013,1-Mar-13
Beasts of the Southern Wild,FoxS,"Adventure,Drama,Fantasy",23265132,12795746,10469386,1800000,21465132,2012,27-Jun-12
Apollo 18,W/Dim.,"Horror,Mystery,Sci-Fi",26517819,17686929,8830890,5000000,21517819,2011,2-Sep-11
Mud,RAtt.,Drama,31556959,21590086,9966873,10000000,21556959,2013,26-Apr-13
Mary Queen of Scots,Focus,"Biography,Drama,History",46734733,16468499,30266234,25000000,21734733,2018,7-Dec-18
Dolphin Tale 2,WB,"Drama,Family",57824533,42024533,15800000,36000000,21824533,2014,12-Sep-14
Inside Llewyn Davis,CBS,"Drama,Music",32943247,13248209,19695038,11000000,21943247,2013,6-Dec-13
Anna Karenina,Focus,,71004627,12816367,58188260,49000000,22004627,2012,16-Nov-12
Anna Karenina,Focus,"Drama,Romance",71004627,12816367,58188260,49000000,22004627,2012,16-Nov-12
Eddie the Eagle,Fox,"Biography,Comedy,Drama",45060480,15789389,29271091,23000000,22060480,2016,26-Feb-16
Home Again,ORF,"Comedy,Drama,Romance",37336874,27020284,10316590,15000000,22336874,2017,8-Sep-17
Home Again,ORF,Drama,37336874,27020284,10316590,15000000,22336874,2017,8-Sep-17
Eye in the Sky,BST,"Drama,Thriller,War",35402802,18704596,16698206,13000000,22402802,2016,11-Mar-16
Kubo and the Two Strings,Focus,"Action,Adventure,Animation",77548122,48023088,29525034,55000000,22548122,2016,19-Aug-16
Edge of Darkness,WB,"Crime,Drama,Mystery",82812456,43313890,39498566,60000000,22812456,2010,29-Jan-10
Adrift,STX,"Action,Adventure,Biography",57897191,31445011,26452180,35000000,22897191,2018,1-Jun-18
Adrift,STX,Drama,57897191,31445011,26452180,35000000,22897191,2018,1-Jun-18
Adrift,STX,Romance,57897191,31445011,26452180,35000000,22897191,2018,1-Jun-18
Happy Feet Two,WB,"Adventure,Animation,Comedy",157956466,64006466,93950000,135000000,22956466,2011,18-Nov-11
Ricki and the Flash,TriS,"Comedy,Drama,Music",41166033,26839498,14326535,18000000,23166033,2015,7-Aug-15
Room,A24,"Drama,Thriller",36262783,14677674,21585109,13000000,23262783,2015,16-Oct-15
The Bye Bye Man,STX,"Drama,Fantasy,Horror",31187727,22395806,8791921,7400000,23787727,2017,13-Jan-17
Arbitrage,RAtt.,"Drama,Thriller",35830713,7919574,27911139,12000000,23830713,2012,14-Sep-12
The Change-Up,Uni.,"Comedy,Fantasy",75997067,37243418,38753649,52000000,23997067,2011,5-Aug-11
The Three Stooges,Fox,"Comedy,Family",54052249,44338224,9714025,30000000,24052249,2012,13-Apr-12
The Three Stooges,Fox,Documentary,54052249,44338224,9714025,30000000,24052249,2012,13-Apr-12
Priest,SGem,"Action,Adventure,Fantasy",84154026,29136626,55017400,60000000,24154026,2011,13-May-11
Dark Skies,W/Dim.,"Horror,Sci-Fi,Thriller",27704111,17418667,10285444,3500000,24204111,2013,22-Feb-13
Love the Coopers,LGF,"Comedy,Fantasy,Romance",42227490,26302731,15924759,18000000,24227490,2015,13-Nov-15
Killing Them Softly,Wein.,"Crime,Thriller",39238443,14945541,24292902,15000000,24238443,2012,30-Nov-12
My Week with Marilyn,Wein.,"Biography,Drama",34240572,14597405,19643167,10000000,24240572,2011,23-Nov-11
Muppets Most Wanted,BV,"Adventure,Comedy,Crime",79312301,51178893,28133408,55000000,24312301,2014,21-Mar-14
The Little Prince,EOne,Action,102028919,1311213,100717706,77500000,24528919,2016,12-Feb-16
The Little Prince,EOne,"Adventure,Animation,Drama",102028919,1311213,100717706,77500000,24528919,2016,12-Feb-16
The Little Prince,EOne,Documentary,102028919,1311213,100717706,77500000,24528919,2016,12-Feb-16
Jersey Boys,WB,"Biography,Drama,Music",65282732,47047013,18235719,40000000,25282732,2014,20-Jun-14
Ex Machina,A24,"Drama,Mystery,Sci-Fi",38358392,25440971,12917421,13000000,25358392,2015,10-Apr-15
Secretariat,BV,"Biography,Drama,Family",60376247,59699513,676734,35000000,25376247,2010,8-Oct-10
Jobs,ORF,"Biography,Drama",43402515,16131410,27271105,18000000,25402515,2013,16-Aug-13
Almost Christmas,Uni.,"Comedy,Drama",42493506,42065185,428321,17000000,25493506,2016,11-Nov-16
Hell or High Water,LGF,"Action,Crime,Drama",37584304,27007844,10576460,12000000,25584304,2016,12-Aug-16
August: Osage County,Wein.,"Comedy,Drama",50738810,37738810,13000000,25000000,25738810,2013,25-Dec-13
You're Next,LGF,"Action,Comedy,Horror",26887177,18494006,8393171,1000000,25887177,2013,23-Aug-13
The 15:17 to Paris,WB,"Biography,Drama,Thriller",56096200,36276286,19819914,30000000,26096200,2018,9-Feb-18
The Judge,WB,"Crime,Drama",76119388,47119388,29000000,50000000,26119388,2014,10-Oct-14
The Judge,WB,Documentary,76119388,47119388,29000000,50000000,26119388,2014,10-Oct-14
Spring Breakers,A24,"Comedy,Crime,Drama",31149251,14124286,17024965,5000000,26149251,2013,15-Mar-13
Risen,Sony,"Action,Adventure,Drama",46255763,36880033,9375730,20000000,26255763,2016,19-Feb-16
Risen,Sony,"Biography,Drama",46255763,36880033,9375730,20000000,26255763,2016,19-Feb-16
The Walk,TriS,"Adventure,Biography,Drama",61492104,10161183,51330921,35000000,26492104,2015,30-Sep-15
The Walk,TriS,"Crime,Thriller",61492104,10161183,51330921,35000000,26492104,2015,30-Sep-15
The Debt,Focus,"Drama,Mystery,Thriller",46604054,31177548,15426506,20000000,26604054,2011,31-Aug-11
The Debt,Focus,"Drama,Thriller",46604054,31177548,15426506,20000000,26604054,2011,31-Aug-11
The Tree of Life,FoxS,Documentary,61721826,13305665,48416161,35000000,26721826,2011,27-May-11
The Tree of Life,FoxS,"Drama,Fantasy",61721826,13305665,48416161,35000000,26721826,2011,27-May-11
Peppermint,STX,"Action,Crime,Drama",51800758,35418723,16382035,25000000,26800758,2018,7-Sep-18
Rough Night,Sony,"Comedy,Crime,Thriller",46844357,22105643,24738714,20000000,26844357,2017,16-Jun-17
Florence Foster Jenkins,Par.,"Biography,Comedy,Drama",56000339,27383770,28616569,29000000,27000339,2016,12-Aug-16
Amour,SPC,"Drama,Romance",36787044,6738954,30048090,9700000,27087044,2012,19-Dec-12
The Night Before,Sony,"Adventure,Comedy,Fantasy",52427346,43035725,9391621,25000000,27427346,2015,20-Nov-15
The Night Before,Sony,Documentary,52427346,43035725,9391621,25000000,27427346,2015,20-Nov-15
The Night Before,Sony,Horror,52427346,43035725,9391621,25000000,27427346,2015,20-Nov-15
The World's End,Focus,"Action,Comedy,Sci-Fi",47508505,26004851,21503654,20000000,27508505,2013,23-Aug-13
Jackie,FoxS,Action,36588512,13960394,22628118,9000000,27588512,2016,2-Dec-16
Jackie,FoxS,"Biography,Drama,History",36588512,13960394,22628118,9000000,27588512,2016,2-Dec-16
Jackie,FoxS,"Comedy,Drama",36588512,13960394,22628118,9000000,27588512,2016,2-Dec-16
Jackie,FoxS,"Comedy,Drama,Romance",36588512,13960394,22628118,9000000,27588512,2016,2-Dec-16
Texas Chainsaw 3D,LGF,"Horror,Thriller",47666013,34341945,13324068,20000000,27666013,2013,4-Jan-13
Cats & Dogs: The Revenge of Kitty Galore,WB,"Action,Comedy,Family",113026383,43585753,69440630,85000000,28026383,2010,30-Jul-10
The Darkest Hour,Sum.,"Action,Adventure,Horror",62831715,21443494,41388221,34800000,28031715,2011,25-Dec-11
The Darkest Hour,Sum.,"Documentary,News",62831715,21443494,41388221,34800000,28031715,2011,25-Dec-11
Lawless,Wein.,"Action,Adventure,Documentary",54393687,37397291,16996396,26000000,28393687,2012,29-Aug-12
Lawless,Wein.,"Crime,Drama",54393687,37397291,16996396,26000000,28393687,2012,29-Aug-12
Pompeii,TriS,"Action,Adventure,Drama",108469033,23169033,85300000,80000000,28469033,2014,21-Feb-14
Uncle Drew,LG/S,"Comedy,Sport",46527161,42469946,4057215,18000000,28527161,2018,29-Jun-18
Sherlock Gnomes,Par.,"Adventure,Animation,Comedy",87527651,43242871,44284780,59000000,28527651,2018,23-Mar-18
Cloud Atlas,WB,"Action,Drama,Mystery",130673154,27108272,103564882,102000000,28673154,2012,26-Oct-12
She's Out of My League,Par.,"Comedy,Romance",48680977,32010860,16670117,20000000,28680977,2010,12-Mar-10
"McFarland, USA",BV,"Biography,Drama,Sport",45707924,44480275,1227649,17000000,28707924,2015,20-Feb-15
Blair Witch,LGF,"Horror,Mystery,Thriller",38985577,20777061,18208516,10000000,28985577,2016,16-Sep-16
A Walk in the Woods,BG,"Adventure,Biography,Comedy",37119358,29499394,7619964,8000000,29119358,2015,2-Sep-15
Devil's Due,Fox,"Horror,Mystery,Thriller",36146087,15821461,20324626,7000000,29146087,2014,17-Jan-14
Soul Surfer,TriS,"Biography,Drama,Family",47158652,43853424,3305228,18000000,29158652,2011,8-Apr-11
Earth to Echo,Rela.,"Adventure,Family,Sci-Fi",42174545,38934842,3239703,13000000,29174545,2014,2-Jul-14
Homefront,ORF,"Action,Thriller",51695362,20158492,31536870,22000000,29695362,2013,27-Nov-13
Homefront,ORF,Drama,51695362,20158492,31536870,22000000,29695362,2013,27-Nov-13
The Longest Ride,Fox,"Drama,Romance",63802928,37446117,26356811,34000000,29802928,2015,10-Apr-15
Grudge Match,WB,"Comedy,Drama,Sport",69807260,29807260,40000000,40000000,29807260,2013,25-Dec-13
Kevin Hart: Let Me Explain,LG/S,"Comedy,Documentary",32327255,32244051,83204,2500000,29827255,2013,3-Jul-13
Gifted,FoxS,"Crime,Drama,Thriller",36964656,24801212,12163444,7000000,29964656,2017,7-Apr-17
Gifted,FoxS,Documentary,36964656,24801212,12163444,7000000,29964656,2017,7-Apr-17
Gifted,FoxS,Drama,36964656,24801212,12163444,7000000,29964656,2017,7-Apr-17
Hot Tub Time Machine,MGM,"Comedy,Sci-Fi",65967750,50269859,15697891,36000000,29967750,2010,26-Mar-10
Something Borrowed,WB,"Comedy,Drama,Romance",65084116,39046489,26037627,35000000,30084116,2011,6-May-11
A Wrinkle in Time,BV,"Adventure,Family,Fantasy",133401882,100478608,32923274,103000000,30401882,2018,9-Mar-18
Runner Runner,Fox,"Crime,Thriller",60512680,19316646,41196034,30000000,30512680,2013,4-Oct-13
The Forest,Focus,"Documentary,History",40749230,26594261,14154969,10000000,30749230,2016,8-Jan-16
The Forest,Focus,"Drama,Fantasy,Horror",40749230,26594261,14154969,10000000,30749230,2016,8-Jan-16
The Forest,Focus,"Horror,Mystery,Thriller",40749230,26594261,14154969,10000000,30749230,2016,8-Jan-16
The Forest,Focus,"Horror,Thriller",40749230,26594261,14154969,10000000,30749230,2016,8-Jan-16
The Switch,Mira.,"Comedy,Drama,Romance",49858465,27758465,22100000,19000000,30858465,2010,20-Aug-10
